Title,Location,State,City,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
Ant-Man,Broadway between Powell and Davis,CA,San Francisco,37.798881,-122.398696,1,intersection,,Broadway,San Francisco,CA,San Francisco County,94111
Ant-Man,Columbus between Bay and Washington,CA,San Francisco,37.795532,-122.403317,1,intersection,,Columbus Ave,San Francisco,CA,San Francisco County,94111
Ant-Man,California between Kearney and Davis,CA,San Francisco,37.793509,-122.397607,1,intersection,,California St,San Francisco,CA,San Francisco County,94111
Ant-Man,Pine between Kearney and Davis,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Around the Fire,Ocean Beach,CA,San Francisco,37.726785,-122.466073,1,street_center,,Ocean Ave,San Francisco,CA,San Francisco County,94127
A Smile Like Yours,75 California Street,CA,San Francisco,37.793546959184,-122.39730895918,1,range_interpolation,75,California St,San Francisco,CA,San Francisco County,94111
A Smile Like Yours,Grace Cathedral Episcopal Church (1100 California Street),CA,San Francisco,37.775607,-122.415485,1,street_center,,Grace St,San Francisco,CA,San Francisco County,94103
A Smile Like Yours,Hills Brothers Plaza (Embarcadero at Harrison Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
A Smile Like Yours,San Francisco International Airport,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Attack of the Killer Tomatoes,Hyde Street Cable Car,CA,San Francisco,37.794567,-122.418112,1,street_center,,Hyde St,San Francisco,CA,San Francisco County,94109
A View to a Kill,Chinatown,CA,San Francisco,37.794993,-122.40767,1,street_center,,Old Chinatown Ln,San Francisco,CA,San Francisco County,94108
A View to a Kill,"Burger Island (901 3rd Street, China Basin)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
A View to a Kill,Van Ness Avenue,CA,San Francisco,37.788489,-122.421949,1,street_center,,Us Hwy,San Francisco,CA,San Francisco County,94109
A View to a Kill,Taylor and Jefferson Streets (Fisherman's Wharf),CA,San Francisco,37.808214,-122.415802,1,intersection,,Jefferson St,San Francisco,CA,San Francisco County,94133
A View to a Kill,City Hall,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
A View to a Kill,Port of San Francisco,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
A View to a Kill,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
A View to a Kill,Golden Gate Bridge,CA,San Francisco,37.810977,-122.477578,1,street_center,,Golden Gate Brg,San Francisco,CA,San Francisco County,94129
A View to a Kill,Embarcadero Freeway,CA,San Francisco,37.794996,-122.394324,1,street_center,,The Embarcadero,San Francisco,CA,San Francisco County,94105
A View to a Kill,Potrero Hill,CA,San Francisco,37.760661,-122.407066,1,street_center,,Potrero Ave,San Francisco,CA,San Francisco County,94110
A View to a Kill,City Hall,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Babies,,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Barbary Coast,,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Basic Instinct,Gibb Street (Chinatown),CA,San Francisco,37.796064,-122.404068,1,street_center,,Gibb St,San Francisco,CA,San Francisco County,94133
Basic Instinct,2104 Broadway,CA,San Francisco,37.7949451,-122.4320437,1,rooftop,2104,Broadway,San Francisco,CA,San Francisco County,94123
Basic Instinct,Raw Hide II (280 Seventh Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
